region,subregion,country,variable,description,source,year,stat
Asia,East and South-East Asia,Taiwan Province of China,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),AMCEWG,2005,0.10
Asia,East and South-East Asia,Thailand,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2007,0.05
Europe,Southeast Europe,Albania,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government sources,2006,0.78
Europe,West & Central Europe,Austria,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),,2008,0.90
Europe,East Europe,Belarus,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ESPAD,2007,0.06
Europe,West & Central Europe,Belgium,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,0.50
Europe,Southeast Europe,Bosnia and Herzegovina,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ESPAD,2008,0.63
Europe,Southeast Europe,Bulgaria,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2012,0.20
Europe,Southeast Europe,Croatia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),EMCDDA,2012,0.50
Europe,West & Central Europe,Cyprus,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2012,0.30
Europe,West & Central Europe,Czech Republic,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,0.10
Europe,West & Central Europe,Denmark,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,0.90
Europe,West & Central Europe,Estonia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),,2008,0.60
Europe,West & Central Europe,Finland,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2010,0.20
Europe,West & Central Europe,France,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2014,1.10
Europe,West & Central Europe,Germany,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),,2012,0.80
Europe,West & Central Europe,Greece,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2004,0.10
Europe,West & Central Europe,Hungary,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2007,0.20
Europe,West & Central Europe,Iceland,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ESPAD,2011,0.92
Europe,West & Central Europe,Ireland,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2011,1.50
Europe,West & Central Europe,Italy,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2014,1.10
Europe,West & Central Europe,Latvia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2011,0.20
Europe,West & Central Europe,Lithuania,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2012,0.20
Europe,West & Central Europe,Luxembourg,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2010,1.04
Europe,West & Central Europe,Malta,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,0.50
Europe,Southeast Europe,Montenegro,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ESPAD,2011,0.52
Europe,West & Central Europe,Netherlands,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2014,1.60
Europe,West & Central Europe,Norway,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2014,1.00
Europe,West & Central Europe,Poland,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),,2015,0.20
Europe,West & Central Europe,Portugal,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2012,0.20
Europe,Eastern/ South-East Europe,Republic of Moldova,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government sources,2008,0.04
Europe,Southeast Europe,Romania,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,0.20
Europe,East Europe,Russian Federation,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ESPAD,2007,0.23
Europe,Southeast Europe,Serbia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2014,0.10
Europe,West & Central Europe,Slovakia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),EMCDDA,2010,0.20
Europe,West & Central Europe,Slovenia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2012,0.50
Europe,West & Central Europe,Spain,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,2.20
Europe,West & Central Europe,Sweden,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,0.38
Europe,West & Central Europe,Switzerland,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2014,0.50
Europe,Southeast Europe,The former Yugoslav Republic of Macedonia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),INCSR,2007,0.08
Europe,Southeast Europe,Turkey,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),UNODC Estimate,2003,0.04
Europe,East Europe,Ukraine,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ESPAD,2011,0.52
Europe,West & Central Europe,United Kingdom (England and Wales),Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2014,2.40
Europe,West & Central Europe,United Kingdom (Northern Ireland),Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2011,1.50
Europe,West & Central Europe,United Kingdom (Scotland),Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2013,2.20
Oceania,Oceania,Australia,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),ARQ,2013,2.10
Oceania,Oceania,New Zealand,Cocaine Prevalence,Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) (%),Government source,2008,0.60
Africa,Eastern Africa,Kenya,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,"1,571"
Africa,Eastern Africa,Seychelles,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2007,5
Africa,Southern Africa,South Africa,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2009,
Americas,South America,Argentina,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,331
Americas,Caribbean,Bahamas,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2007,2
Americas,South America,Brazil,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,200
Americas,North America,Canada,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2007,"2,394"
Americas,Central America,Costa Rica,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2010,21
Americas,Caribbean,Dominican Republic,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2008,135
Americas,South America,Ecuador,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,3
Americas,Central America,El Salvador,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",CICAD,2005,568
Americas,North America,Mexico,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,263
Americas,Central America,Nicaragua,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,11
Americas,Central America,Panama,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,1
Americas,South America,Peru,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2011,42
Americas,Caribbean,Trinidad and Tobago,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2009,3
Americas,North America,United States of America,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,"49,714"
Americas,South America,Uruguay,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2011,216
Americas,South America,Venezuela (Bolivarian Republic of),Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2010,197
Asia,Near and Middle East / South-West Asia,Afghanistan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2009,16
Asia,Central Asia and Transcaucasia,Azerbaijan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,31
Asia,Near and Middle East,Bahrain,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2009,25
Asia,South Asia,Bhutan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2010,4
Asia,East and South-East Asia,"China, Hong Kong SAR",Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,94
Asia,East and South-East Asia,"China, Macao SAR",Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,2
Asia,Central Asia  and Transcaucasian countries,Georgia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2008,
Asia,South Asia,India,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2008,
Asia,East and South-East Asia,Indonesia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2010,447
Asia,South-West Asia,Iran (Islamic Republic of),Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,"2,986"
Asia,Near and Middle East /South-West Asia,Israel,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,53
Asia,East and South-East Asia,Japan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2009,
Asia,Near and Middle East /South-West Asia,Jordan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2003,52
Asia,Central Asia  and Transcaucasian countries,Kazakhstan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,323
Asia,Near and Middle East,Kuwait,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2009,44
Asia,Central Asia  and Transcaucasian countries,Kyrgyzstan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,170
Asia,Near and Middle East /South-West Asia,Lebanon,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,9
Asia,East and South-East Asia,Malaysia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2010,432
Asia,East and South-East Asia,Myanmar,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2011,22
Asia,Near and Middle East /South-West Asia,Oman,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2002,5
Asia,Near and Middle East / South-West Asia,Pakistan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,
Asia,Near and Middle East,Qatar,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2011,10
Asia,Near and Middle East / South-West Asia,Saudi Arabia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,
Asia,Near and Middle East,Syrian Arab Republic,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,4
Asia,Central Asia  and Transcaucasian countries,Tajikistan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,47
Asia,Near and Middle East,United Arab Emirates,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2011,19
Asia,Central Asia and Transcaucasian countries,Uzbekistan,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,547
Asia,East and South-East Asia,Viet Nam,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2009,"2,184"
Europe,Southeast Europe,Albania,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2004,8
Europe,West & Central Europe,Andorra,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,0
Europe,West & Central Europe,Austria,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,190
Europe,East Europe,Belarus,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,271
Europe,West & Central Europe,Belgium,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",National Focal Point,2010,106
Europe,Southeast Europe,Bosnia and Herzegovina,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,40
Europe,Southeast Europe,Bulgaria,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,21
Europe,Southeast Europe,Croatia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,165
Europe,West & Central Europe,Cyprus,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,10
Europe,West & Central Europe,Czech Republic,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,39
Europe,West & Central Europe,Denmark,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,213
Europe,West & Central Europe,Estonia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,111
Europe,West & Central Europe,Finland,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,274
Europe,West & Central Europe,France,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,162
Europe,West & Central Europe,Germany,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,"1,002"
Europe,West & Central Europe,Gibraltar,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2008,1
Europe,West & Central Europe,Greece,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,21
Europe,West & Central Europe,Hungary,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,23
Europe,West & Central Europe,Iceland,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2007,45
Europe,West & Central Europe,Ireland,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,181
Europe,West & Central Europe,Italy,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,313
Europe,West & Central Europe,Latvia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,13
Europe,West & Central Europe,Liechtenstein,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,0
Europe,West & Central Europe,Lithuania,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,87
Europe,West & Central Europe,Luxembourg,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,8
Europe,Southeast Europe,Macedonia (TFYR),Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2009,23
Europe,West & Central Europe,Malta,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,3
Europe,East Europe,Moldova (Republic of),Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,27
Europe,West & Central Europe,Monaco,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,0
Europe,Southeast Europe,Montenegro,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",Govt.,2010,6
Europe,West & Central Europe,Netherlands,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,123
Europe,West & Central Europe,Norway,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,234
Europe,West & Central Europe,Poland,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,227
Europe,West & Central Europe,Portugal,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,16
Europe,Southeast Europe,Romania,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,31
Europe,East Europe,Russian Federation,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,"8,189"
Europe,Southeast Europe,Serbia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2008,138
Europe,West & Central Europe,Slovakia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2010,112
Europe,West & Central Europe,Slovenia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,28
Europe,West & Central Europe,Spain,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2012,"1,230"
Europe,West & Central Europe,Sweden,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,589
Europe,West & Central Europe,Switzerland,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,126
Europe,Southeast Europe,Turkey,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,232
Europe,East Europe,Ukraine,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2014,"3,311"
Europe,West & Central Europe,United Kingdom,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2013,"3,800"
Oceania,Oceania,Australia,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2011,"1,751"
Oceania,Oceania,New Zealand,Drug Related Deaths,"Number of drug-related deaths, mortality rates per million persons aged 15-64 years and ranking of drugs as primary cause of death (2014 or latest year available)",ARQ,2011,78
