Region,Subregion,Substance/ Drug,thousands,percentage,Lower estimate
Africa,Eastern Africa,Cannabis,"6,640",4.2,1.4
Africa,North Africa,Cannabis,"5,690",4.4,2.3
Africa,Southern Africa,Cannabis,"4,610",5.1,3.5
Africa,West and Central Africa,Cannabis,"30,590",12.4,5.1
Americas,Caribbean,Cannabis,700,2.5,1.2
Americas,Central America,Cannabis,810,2.9,2.7
Americas,North America,Cannabis,"38,520",12.1,12
Americas,South America,Cannabis,"8,940",3.2,3.2
Asia,Central Asia and Transcaucasia,Cannabis,"1,930",3.5,2.4
Asia,East and South-East Asia,Cannabis,"10,240",0.6,0.4
Asia,Near and Middle East,Cannabis,"9,650",3.4,2
Asia,South Asia,Cannabis,"34,700",3.5,1.7
Europe,,Cannabis,"26,940",4.9,4.8
Oceania,Oceania,Cannabis,"2,550",10.2,8.5
Africa,Eastern Africa,Opioids,270,0.17,0.06
Africa,North Africa,Opioids,350,0.25,0.1
Africa,Southern Africa,Opioids,370,0.4,0.26
Africa,West and Central Africa,Opioids,"1,080",0.44,0.19
Americas,Caribbean,Opioids,100,0.4,0.2
Americas,Central America,Opioids,40,0.2,0.1
Americas,North America,Opioids,"12,300",3.9,3.8
Americas,South America,Opioids,910,0.3,0.3
Asia,Central Asia and Transcaucasia,Opioids,490,0.88,0.85
Asia,East and South-East Asia,Opioids,"3,380",0.21,0.16
Asia,Near and Middle East,Opioids,"5,400",1.91,1.41
Asia,South Asia,Opioids,"3,020",0.31,0.23
Europe,,Opioids,"4,680",0.9,0.8
Oceania,Oceania,Opioids,740,3,2.4
Africa,Eastern Africa,Opiates,240,0.15,0.11
Africa,North Africa,Opiates,350,0.25,0.1
Africa,Southern Africa,Opiates,310,0.34,0.23
Africa,West and Central Africa,Opiates,"1,060",0.43,0.19
Americas,Caribbean,Opiates,80,0.28,0.18
Americas,Central America,Opiates,20,0.07,0.06
Americas,North America,Opiates,"1,590",0.5,0.45
Americas,South America,Opiates,400,0.14,0.14
Asia,Central Asia and Transcaucasia,Opiates,450,0.81,0.78
Asia,East and South-East Asia,Opiates,"3,350",0.21,0.16
Asia,Near and Middle East,Opiates,"3,470",1.22,0.88
Asia,South Asia,Opiates,"2,890",0.29,0.23
Europe,,Opiates,"3,190",0.58,0.57
Oceania,Oceania,Opiates,50,0.2,0.12
Africa,Eastern Africa,Cocaine,NA,NA,NA
Africa,North Africa,Cocaine,30,0,0
Africa,Southern Africa,Cocaine,680,0.7,0.2
Africa,West and Central Africa,Cocaine,"1,710",0.7,0.2
Americas,Caribbean,Cocaine,180,0.6,0.2
Americas,Central America,Cocaine,170,0.6,0.6
Americas,North America,Cocaine,"5,140",1.6,1.6
Americas,South America,Cocaine,"4,210",1.5,1.5
Asia,Near and Middle East,Cocaine,100,0,0
Asia,South Asia,Cocaine,NA,NA,NA
Europe,,Cocaine,"4,040",0.7,0.7
Oceania,Oceania,Cocaine,390,1.5,1.5
Africa,Eastern Africa,Amphetamines,NA,NA,NA
Africa,North Africa,Amphetamines,780,0.57,0.2
Africa,Southern Africa,Amphetamines,650,0.71,0.34
Africa,West and Central Africa,Amphetamines,NA,NA,NA
Americas,Caribbean,Amphetamines,220,0.8,0.1
Americas,Central America,Amphetamines,240,0.9,0.9
Americas,North America,Amphetamines,"4,560",1.4,1.4
Americas,South America,Amphetamines,"2,580",0.9,0.9
Asia,Near and Middle East,Amphetamines,430,0.15,0.1
Asia,South Asia,Amphetamines,NA,NA,NA
Europe,,Amphetamines,"2,410",0.4,0.4
Oceania,Oceania,Amphetamines,480,1.9,1.5
Africa,Eastern Africa,Ecstasy,NA,NA,NA
Africa,North Africa,Ecstasy,NA,NA,NA
Africa,Southern Africa,Ecstasy,270,0.3,0.16
Africa,West and Central Africa,Ecstasy,NA,NA,NA
Americas,Caribbean,Ecstasy,50,0.19,0.04
Americas,Central America,Ecstasy,30,0.11,0.11
Americas,North America,Ecstasy,"2,490",0.78,0.77
Americas,South America,Ecstasy,500,0.18,0.17
Asia,Near and Middle East,Ecstasy,NA,NA,NA
Asia,South Asia,Ecstasy,NA,NA,NA
Europe,,Ecstasy,"3,500",0.64,0.6
Oceania,Oceania,Ecstasy,610,2.42,2.22